cislo,skratka,skratka_mesto,VS_NAZOV
701 0000 00,UK,UK Bratislava,"Univerzita Komenského v Bratislave"
702 0000 00,STU,STU Bratislava,"Slovenská technická univerzita v Bratislave"
703 0000 00,EU,EU Bratislava,"Ekonomická univerzita v Bratislave"
704 0000 00,SPU,SPU Nitra,"Slovenská poľnohospodárska univerzita v Nitre"
705 0000 00,TUZ,TU Zvolen,"Technická univerzita vo Zvolene"
706 0000 00,VŠVU,,"Vysoká škola výtvarných umení v Bratislave"
707 0000 00,VŠMU,VŠMU Bratislava,"Vysoká škola múzických umení v Bratislave"
708 0000 00,UVLF,UVLF Košice,"Univerzita veterinárskeho lekárstva a farmácie v Košiciach"
709 0000 00,TUKE,TU Košice,"Technická univerzita v Košiciach"
710 0000 00,ŽU,ŽU Žilina,"Žilinská univerzita v Žiline"
711 0000 00,UPJŠ,UPJŠ Košice,"Univerzita Pavla Jozefa Šafárika v Košiciach"
712 0000 00,AOS,,"Akadémia ozbrojených síl gen. Milana Rastislava Štefánika v L. Mikuláši"
713 0000 00,TTU,TVU Trnava,"Trnavská univerzita v Trnave"
714 0000 00,UMB,UMB Banská Bystrica,"Univerzita Mateja Bela v Banskej Bystrici"
715 0000 00,APZ,,"Akadémia Policajného zboru v Bratislave"
716 0000 00,UKF,UKF Nitra,"Univerzita Konštantína Filozofa v Nitre"
717 0000 00,PU,PU Prešov,"Prešovská univerzita v Prešove"
718 0000 00,AU,,"Akadémia umení v Banskej Bystrici"
719 0000 00,TnUAD,TUAD Trenčín,"Trenčianska univerzita Alexandra Dubčeka v Trenčíne"
720 0000 00,UCM,UCM Trnava,"Univerzita sv. Cyrila a Metoda v Trnave"
721 0000 00,VŠM,,"Vysoká škola manažmentu v Trenčíne"
722 0000 00,KU,KU Ružomberok,"Katolícka univerzita v Ružomberku"
723 0000 00,SZU,,"Slovenská zdravotnícka univerzita v Bratislave"
724 0000 00,VŠZaSP,,"Vysoká škola zdravotníctva a sociálnej práce sv. Alžbety v Bratislave"
725 0000 00,UJS,UJS Komárno,"Univerzita J. Selyeho v Komárne"
726 0000 00,VŠEMVS,,"Vysoká škola ekonómie a manažmentu verejnej správy v Bratislave"
727 0000 00,PEVŠ,,"Paneurópska vysoká škola"
728 0000 00,VŠD,,"Vysoká škola Danubius"
729 0000 00,ISM,,"Vysoká škola medzinárodného podnikania ISM Slovakia v Prešove"
731 0000 00,VŠDTI,,"Vysoká škola DTI"
732 0000 00,BISLA,,"Bratislavská medzinárodná škola liberálnych štúdií"
733 0000 00,VŠBM,,"Vysoká škola bezpečnostného manažérstva v Košiciach"
734 0000 00,HUAJA,,"Hudobná a umelecká akadémia Jána Albrechta v Banskej Štiavnici"
788 0000 00,VŠLG,,"Vysoká škola logistiky, o.p.s."
789 0000 00,SVŠE,,"Soukromné vysoká škola ekonomická Znojmo, s.r.o."
791 0000 00,VŠMVV,,"Vysoká škola mezinárodních a veřejných vztahů Praha, o. p. s."
793 0000 00,VŠH,,"Vysoká škola hotelová v Praze 8, spol. s. r. o."
795 0000 00,MODSPE,,"Institut Supérieur Spécialisé de la Mode, Paris"
797 0000 00,SZIE,,"Szent István Egyetem"
798 0000 00,SGM,,"Collegium Humanum - Szkoła Główna Menedżerska"
799 0000 00,NU,,"Vysoká škola NEWTON, a.s. (NEWTON University)"