VS_NAZOV,FAKULTA_NAZOV,pocty_zamestnancov,publikacna_excelentnost,sum_granty
Univerzita Komenského v Bratislave,Právnická fakulta UK,137,145.75,205530.0
Univerzita Komenského v Bratislave,Pedagogická fakulta UK,131,60.25,0.0
Univerzita Komenského v Bratislave,Filozofická fakulta UK,71,72.5,415638.0
Univerzita Komenského v Bratislave,Fakulta managementu UK,74,202.5,316548.0
Univerzita Komenského v Bratislave,Prírodovedecká fakulta UK,24,20.75,0.0
Univerzita Komenského v Bratislave,"Fakulta matematiky, fyziky a informatiky UK",8,6.25,0.0
Univerzita Komenského v Bratislave,Lekárska fakulta UK,6,0.0,0.0
Univerzita Komenského v Bratislave,Fakulta telesnej výchovy a športu UK,59,140.5,51884.0
Univerzita Komenského v Bratislave,Fakulta sociálnych a ekonomických vied UK,48,155.0,192448.0
Univerzita Komenského v Bratislave,Farmaceutická fakulta UK,6,0.0,0.0
Slovenská technická univerzita v Bratislave,Ústav manažmentu STU,19,0.0,544559.0
Slovenská technická univerzita v Bratislave,Stavebná fakulta STU v Bratislave,6,8.5,0.0
Slovenská technická univerzita v Bratislave,Fakulta elektrotechniky a informatiky,7,0.0,0.0
Slovenská technická univerzita v Bratislave,Fakulta chemickej a potravinárskej technológie,5,0.0,0.0
Ekonomická univerzita v Bratislave,Podnikovohospodárska fakulta v Košiciach,35,49.5,34617.0
Ekonomická univerzita v Bratislave,Fakulta podnikového manažmentu,75,100.75,758006.0
Ekonomická univerzita v Bratislave,Obchodná fakulta,65,88.25,126351.0
Ekonomická univerzita v Bratislave,Národohospodárska fakulta,92,120.75,115360.0
Ekonomická univerzita v Bratislave,Fakulta hospodárskej informatiky,59,48.5,0.0
Ekonomická univerzita v Bratislave,Fakulta medzinárodných vzťahov,26,48.75,0.0
Slovenská poľnohospodárska univerzita v Nitre,Fakulta ekonomiky a manažmentu,90,124.25,522588.0
Slovenská poľnohospodárska univerzita v Nitre,Fakulta európskych štúdií a regionálneho rozvoja,29,19.75,987089.0
Technická univerzita vo Zvolene,Drevárska fakulta,32,124.25,0.0
Univerzita veterinárskeho lekárstva a farmácie v Košiciach,Predklinické pracoviská,9,0.0,0.0
Technická univerzita v Košiciach,"Fakulta baníctva, ekológie, riadenia a geotechnológií",23,73.75,0.0
Technická univerzita v Košiciach,Ekonomická fakulta,63,151.0,3232930.0
Technická univerzita v Košiciach,"Ústav jazykov, spoločenských vied a akademického športu",18,0.0,0.0
Žilinská univerzita v Žiline,Fakulta riadenia a informatiky,22,38.0,0.0
Žilinská univerzita v Žiline,Fakulta bezpečnostného inžinierstva,44,72.25,55006.0
Žilinská univerzita v Žiline,Fakulta humanitných vied,13,24.5,0.0
Žilinská univerzita v Žiline,Fakulta prevádzky a ekonomiky dopravy a spojov,41,210.75,44660.0
Žilinská univerzita v Žiline,Celouniverzitné pracoviská ŽU ,12,0.0,0.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Filozofická fakulta,34,69.0,114935.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Právnická fakulta,52,26.75,0.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Fakulta verejnej správy,31,24.5,0.0
Univerzita Pavla Jozefa Šafárika v Košiciach,Celouniverzitné pracovisko UPJŠ,11,26.5,0.0
Trnavská univerzita v Trnave,Filozofická fakulta,25,65.25,58033.0
Trnavská univerzita v Trnave,Právnická fakulta,47,27.5,0.0
Trnavská univerzita v Trnave,Pedagogická fakulta,91,58.5,1051789.0
Trnavská univerzita v Trnave,Fakulta zdravotníctva a sociálnej práce,14,24.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Filozofická fakulta,25,92.25,28496.0
Univerzita Mateja Bela v Banskej Bystrici,Právnická fakulta,39,41.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Pedagogická fakulta,50,57.75,8400.0
Univerzita Mateja Bela v Banskej Bystrici,Fakulta politických vied a medzinárodných vzťahov,37,40.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Fakulta prírodných vied,15,7.0,0.0
Univerzita Mateja Bela v Banskej Bystrici,Ekonomická fakulta,96,181.5,309544.0
Univerzita Konštantína Filozofa v Nitre,Fakulta sociálnych vied a zdravotníctva,27,45.25,5430.0
Univerzita Konštantína Filozofa v Nitre,Pedagogická fakulta UKF,82,130.0,11248.0
Univerzita Konštantína Filozofa v Nitre,Filozofická fakulta,22,56.5,0.0
Univerzita Konštantína Filozofa v Nitre,Fakulta prírodných vied,37,0.0,101160.0
Univerzita Konštantína Filozofa v Nitre,Fakulta stredoeurópskych štúdií,23,48.75,5634.0
Prešovská univerzita v Prešove,Fakulta humanitných a prírodných vied,26,39.0,0.0
Prešovská univerzita v Prešove,Fakulta manažmentu,67,0.0,81864.0
Prešovská univerzita v Prešove,Fakulta športu,24,53.5,559988.0
Prešovská univerzita v Prešove,Filozofická fakulta,75,84.0,0.0
Prešovská univerzita v Prešove,Pedagogická fakulta,57,42.25,52206.0
Prešovská univerzita v Prešove,Pravoslávna bohoslovecká fakulta,7,13.25,0.0
Prešovská univerzita v Prešove,Centrum celoživotného a kompetenčného vzdelávania,10,0.0,0.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,Fakulta sociálno-ekonomických vzťahov,26,94.5,0.0
Trenčianska univerzita Alexandra Dubčeka v Trenčíne,Celouniverzitné pracovisko - Katedra politológie,7,0.0,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Filozofická fakulta,16,42.75,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta sociálnych  vied,39,43.5,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta masmediálnej komunikácie,85,0.0,318814.0
Univerzita sv. Cyrila a Metoda v Trnave,Fakulta zdravotníckych vied,5,4.75,0.0
Univerzita sv. Cyrila a Metoda v Trnave,Inštitút manažmentu,10,11.75,0.0
Katolícka univerzita v Ružomberku,Pedagogická fakulta,76,68.0,0.0
Katolícka univerzita v Ružomberku,Teologická fakulta,19,11.5,48600.0
Katolícka univerzita v Ružomberku,Filozofická fakulta,37,10.0,26806.0
Univerzita J. Selyeho,Pedagogická fakulta,53,34.5,572392.0
Univerzita J. Selyeho,Fakulta ekonómie a informatiky,18,71.5,0.0
